model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,3,4,5,6,7,8,9,10,11,12,13,8,14	0.00185714	0.942429	0.002028	0.915594
0,1,2,3,4,5,6,7,0,8,6,9,10,9,0,11	0.00185714	0.944286	<1e-06	>1860.6
0,1,2,3,4,5,6,4,7,8,9,10,11,3,0,12	0.00178571	0.946071	1e-06	1788.91
0,1,2,3,4,5,6,7,8,9,6,10,11,3,8,12	0.00171429	0.947786	<1e-06	>1717.23
0,1,2,3,4,5,6,7,4,8,6,3,9,10,11,12	0.00171429	0.9495	<1e-06	>1717.23
0,1,2,3,4,5,6,4,7,8,6,9,10,3,11,12	0.00171429	0.951214	<1e-06	>1717.23
0,1,2,3,4,5,6,7,4,8,6,9,3,9,0,10	0.00171429	0.952929	<1e-06	>1717.23
0,1,2,3,4,5,6,7,4,8,9,10,11,12,0,13	0.0015	0.954429	1.9e-05	79.0645
0,1,2,3,4,5,6,4,7,8,6,3,9,10,11,12	0.0015	0.955929	1e-06	1502.25
0,1,2,3,4,5,6,4,7,8,9,10,11,12,13,14	0.0015	0.957429	0.002046	0.732737
0,1,2,3,4,5,6,7,4,8,9,3,10,11,0,12	0.00142857	0.958857	1e-06	1430.61
0,1,2,3,4,5,6,7,4,8,6,9,10,3,11,12	0.00142857	0.960286	1e-06	1430.61
0,1,2,3,4,5,6,7,7,8,6,3,9,3,0,10	0.00142857	0.961714	<1e-06	>1430.61
0,1,2,3,4,5,6,7,8,9,10,3,11,12,8,13	0.00135714	0.963071	2.2e-05	61.7708
0,1,2,3,4,5,6,7,4,8,9,10,11,3,12,13	0.00128571	0.964357	1.2e-05	107.28
0,1,2,3,4,5,6,7,4,8,9,10,11,12,13,14	0.00128571	0.965643	0.00205	0.626698
0,1,2,3,4,5,6,4,7,8,6,9,3,9,0,10	0.00121429	0.966857	<1e-06	>1215.76
0,1,2,3,4,5,6,7,8,9,6,10,11,12,8,13	0.00121429	0.968071	1.6e-05	75.9839
0,1,2,3,4,5,6,4,4,7,6,8,9,8,0,10	0.00121429	0.969286	<1e-06	>1215.76
0,1,2,3,4,5,6,4,7,8,6,9,10,11,0,12	0.00114286	0.970429	1e-06	1144.16
0,1,2,3,4,5,6,7,8,9,10,11,12,3,8,13	0.00114286	0.971571	2e-05	57.2071
0,1,2,3,4,5,6,7,0,8,6,3,9,3,10,11	0.00114286	0.972714	<1e-06	>1144.16
0,1,2,3,4,5,6,4,7,8,6,9,10,11,12,13	0.00114286	0.973857	2.2e-05	52.0063
0,1,2,3,4,5,6,7,4,8,9,3,10,11,12,13	0.00107143	0.974929	1.3e-05	82.5049
0,1,2,3,4,5,6,4,7,8,9,10,11,10,7,12	0.00107143	0.976	<1e-06	>1072.58
0,1,2,3,4,5,6,4,7,8,9,10,11,12,0,13	0.000928571	0.976929	1.8e-05	51.6343
0,1,2,3,4,5,6,4,7,8,9,3,10,11,12,13	0.000857143	0.977786	1.4e-05	61.2762
0,1,2,3,4,5,6,4,0,7,6,8,9,8,0,10	0.000857143	0.978643	<1e-06	>857.877
0,1,2,3,4,5,6,7,4,8,6,9,10,11,12,13	0.000785714	0.979429	1.6e-05	49.145
0,1,2,3,4,5,6,7,8,9,6,10,3,10,0,11	0.000785714	0.980214	<1e-06	>786.331
0,1,2,3,4,5,6,4,7,8,6,9,10,3,7,11	0.000714286	0.980929	<1e-06	>714.796
0,1,2,3,4,5,6,7,0,8,6,9,10,3,0,11	0.000642857	0.981571	<1e-06	>643.27
0,1,2,3,4,5,6,7,0,8,9,10,11,10,0,12	0.000642857	0.982214	1e-06	643.27
0,1,2,3,4,5,6,4,4,7,6,8,9,3,0,10	0.000642857	0.982857	<1e-06	>643.27
0,1,2,3,4,5,6,4,7,8,6,3,9,10,7,11	0.000642857	0.9835	<1e-06	>643.27
0,1,2,3,4,5,6,4,4,7,8,3,9,3,10,11	0.000642857	0.984143	<1e-06	>643.27
0,1,2,3,4,5,6,4,0,7,6,3,8,3,9,10	0.000571429	0.984714	<1e-06	>571.755
0,1,2,3,4,5,6,4,0,7,6,3,8,9,0,10	0.0005	0.985214	<1e-06	>500.25
0,1,2,3,4,5,6,4,7,8,6,9,10,11,7,12	0.0005	0.985714	<1e-06	>500.25
0,1,2,3,4,5,6,4,0,7,6,8,9,3,0,10	0.0005	0.986214	<1e-06	>500.25
0,1,2,3,4,5,6,4,7,8,9,10,11,3,12,13	0.0005	0.986714	1.8e-05	27.7912
