model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,3,4,5,6,4,7,8,9,3,10,11,12,13	0.000571429	0.988	1.8e-05	31.7636
0,1,2,3,4,5,6,4,7,8,6,9,10,9,11,12	0.000571429	0.988571	<1e-06	>571.755
0,1,2,3,4,5,6,7,4,8,6,9,10,3,0,11	0.0005	0.989071	<1e-06	>500.25
0,1,2,3,4,5,6,7,4,8,9,3,10,11,0,12	0.0005	0.989571	<1e-06	>500.25
0,1,2,3,4,5,6,4,7,8,9,10,11,3,0,12	0.000428571	0.99	<1e-06	>428.755
0,1,2,3,4,5,6,7,8,9,10,11,3,11,12,13	0.000428571	0.990429	1.8e-05	23.8193
0,1,2,3,4,5,6,7,0,8,9,10,11,12,13,14	0.000428571	0.990857	0.00205	0.20872
0,1,2,3,4,5,6,7,0,8,9,3,10,3,0,11	0.000357143	0.991214	<1e-06	>357.27
0,1,2,3,4,5,6,4,7,8,9,10,11,10,7,12	0.000357143	0.991571	<1e-06	>357.27
0,1,2,3,4,5,6,4,7,8,6,9,10,3,0,11	0.000357143	0.991929	<1e-06	>357.27
0,1,2,3,4,5,6,4,7,8,9,3,10,11,0,12	0.000357143	0.992286	1e-06	357.27
0,1,2,3,4,5,6,7,8,9,6,10,11,3,8,12	0.000357143	0.992643	<1e-06	>357.27
0,1,2,3,4,5,6,4,7,8,6,3,9,3,7,10	0.000357143	0.993	<1e-06	>357.27
0,1,2,3,4,5,6,4,7,8,6,9,10,9,7,11	0.000357143	0.993357	<1e-06	>357.27
0,1,2,3,4,5,6,4,7,8,6,9,10,3,11,12	0.000357143	0.993714	2e-06	178.635
0,1,2,3,4,5,6,7,8,9,6,10,3,11,12,13	0.000285714	0.994	1.3e-05	21.984
0,1,2,3,4,5,6,4,7,8,9,3,10,3,7,11	0.000285714	0.994286	<1e-06	>285.796
0,1,2,3,4,5,6,4,7,8,6,3,9,10,0,11	0.000285714	0.994571	<1e-06	>285.796
0,1,2,3,4,5,6,7,0,8,9,10,11,10,12,13	0.000285714	0.994857	1.3e-05	21.984
0,1,2,3,4,5,6,4,7,8,6,3,9,10,11,12	0.000285714	0.995143	<1e-06	>285.796
0,1,2,3,4,5,6,7,0,8,9,10,11,10,0,12	0.000285714	0.995429	<1e-06	>285.796
0,1,2,3,4,5,6,4,7,8,9,10,11,3,7,12	0.000214286	0.995643	<1e-06	>214.331
0,1,2,3,4,5,6,7,8,9,6,10,3,10,0,11	0.000214286	0.995857	<1e-06	>214.331
0,1,2,3,4,5,6,4,7,8,6,9,10,11,7,12	0.000214286	0.996071	<1e-06	>214.331
0,1,2,3,4,5,6,7,4,8,6,3,9,10,0,11	0.000214286	0.996286	<1e-06	>214.331
0,1,2,3,4,5,6,7,8,9,7,10,11,10,12,13	0.000142857	0.996429	1.8e-05	7.9375
0,1,2,3,4,5,6,4,7,8,6,3,9,10,7,11	0.000142857	0.996571	<1e-06	>142.877
0,1,2,3,4,5,6,4,7,8,9,10,11,12,7,13	0.000142857	0.996714	2.1e-05	6.80355
0,1,2,3,4,5,6,7,0,8,9,3,10,11,12,13	0.000142857	0.996857	8e-06	17.8596
0,1,2,3,4,5,6,7,0,8,9,3,10,3,11,12	0.000142857	0.997	<1e-06	>142.877
0,1,2,3,4,5,6,7,8,9,10,11,3,12,8,13	0.000142857	0.997143	8e-06	17.8596
0,1,2,3,4,5,6,4,4,7,8,9,10,9,0,11	0.000142857	0.997286	<1e-06	>142.877
0,1,2,3,4,5,6,7,0,8,9,10,11,12,0,13	0.000142857	0.997429	3.5e-05	4.08207
0,1,2,3,4,5,6,7,8,9,6,10,3,10,11,12	0.000142857	0.997571	<1e-06	>142.877
0,1,2,3,4,5,6,7,7,8,9,10,11,10,0,12	0.000142857	0.997714	<1e-06	>142.877
0,1,2,3,4,5,6,7,0,8,6,3,9,3,10,11	0.000142857	0.997857	<1e-06	>142.877
0,1,2,3,4,5,6,4,7,8,9,3,10,11,7,12	0.000142857	0.998	<1e-06	>142.877
0,1,2,3,4,5,6,4,4,7,8,9,10,3,11,12	7.14286e-05	0.998071	1e-06	71.4336
